game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
Republique VR,0,1,73.50%,7858,2490
Kaisuo,0,0,76%,0,1560
Delirium VR,0,1,73.70%,1155,472
Brew-Ha,0,0,75%,0,578
Apocalypse Mechanism,0,0,50%,7319,610
Immersion Chess,0,1,66.70%,0,40971
World of Golf,0,0,55.60%,10928,1053
The Murder Room VR,0,0,50%,4143,655
Agent Emerson,0,0,40.70%,2589,810
Girls' civilization 2,0,0,60.70%,6957,840
Liminal,0,0,68.60%,0,1050
Ski Jump VR,0,0,62.50%,2508,733
Triumph in the Skies,0,0,71.40%,9827,420
NASA's Exoplanet Excursions,0,1,77.80%,0,544
The Polynesian Cultural Center VR Experience,0,0,78.60%,0,396
Buccaneers! The New Age of Piracy,0,1,79.60%,0,2940
Smell Of Death,0,0,64.90%,32246,3366
Cow Milking Simulator,0,0,94.90%,10180,3216
Reality Blender,0,0,53.80%,0,452
Rollercoaster Xperience,0,0,63.20%,1942,883
Beyond the Stars VR,0,0,74.40%,0,1118
snowboarding,0,0,79.30%,0,870
Fastigium,0,1,52.20%,0,2658
The Cavern,0,0,46.70%,7811,705
HOLOGRA,0,0,43.50%,2996,906
Bladeline VR,0,0,55.60%,5450,648
Bubble Labs VR,0,0,75%,1823,778
Kessler Effect,0,0,53.30%,1284,450
Hover Skate VR,0,0,45.50%,11248,1380
WREST,0,0,62.50%,10919,720
Zombie Riot,0,0,75.60%,38759,3575
Singularity 5,0,0,75.60%,18066,2586
Above - VR,0,0,36.80%,5302,2004
The Stray Cat,0,0,80%,0,374
Warhammer: Vermintide VR - Hero Trials,0,0,59.30%,0,10707
Graffiti Bombing,0,1,60.40%,0,1590
Escape the Bunker,0,0,57.10%,2596,700
The baron got you again,0,0,50%,1247,528
Mental Asylum VR,0,0,63.90%,5215,1550
Stolen Steel VR,0,1,53.80%,5869,931
Forestry,0,0,59.10%,4390,1105
Primal Reign,0,0,68.60%,0,2353
Cogito,0,0,68.80%,2231,578
Ghostship Aftermath,0,0,39.40%,68291,8937
Escape the Bunker,0,0,57.10%,2596,700
Singularity 5,0,0,75.60%,18066,2586
Primal Reign,0,0,68.60%,0,2353
8i - Make VR Human,0,0,65.70%,0,3990
Let Hawaii Happen VR,0,0,62.50%,0,1818
El Ministerio del Tiempo VR: Salva el tiempo,0,0,63.60%,0,555
Cow Milking Simulator,0,0,94.90%,10180,3216
The Stray Cat,0,0,80%,0,374
Lone Pirate VR,0,0,50%,4330,915
"Okay, Panic!",0,0,41.20%,4478,608
Drone Showcase,0,0,65.40%,0,780
Mental Asylum VR,0,0,63.90%,5215,1550
Doritos VR Battle,0,0,64.70%,2381,993
Stolen Steel VR,0,1,53.80%,5869,931
A-Escape VR,0,0,60.90%,6127,993
Magic Blast VR,0,0,71.40%,6005,506
Bingo VR,0,1,69.20%,0,780
Chamber 19,0,0,64.60%,25013,2303
Fovos VR,0,3,61.80%,0,3516
Zombie Hobby VR,0,0,68.40%,4128,703
Ghostship Aftermath,0,0,39.40%,68291,8937
Space Fist,0,0,77.60%,24147,1903
Renters Revenge,0,0,78.30%,0,1022
Pinball Inside: A VR Arcade Game,0,0,77.80%,0,2588
Holo Impact : Prologue,0,0,88.90%,15800,1593
Holy Chick!,0,1,65%,1152,600
VR Dunhuang,0,0,75%,3782,500
Pyramid VR,0,0,53.80%,1551,628
PANTY SLIDE VR,0,0,64.30%,1754,470
RunVR,0,0,80%,10262,2214
Gun Beat,0,0,72.70%,2094,404
Vanguard V,0,0,66.70%,8734,728
Cogs and Cowboys,0,0,55.60%,3853,1008
Stars,0,0,68.80%,11458,1557
Virtual Warfighter,0,0,62.90%,73471,4050
Crawling Of The Dead,0,0,66.70%,28887,1620
LightStrike,0,0,56.30%,1840,579
A Lost Room,0,0,60%,5086,705
Redswood VR,0,0,70%,5421,1800
Freeze Climbing,0,0,66.70%,721,515
VRIQ,0,0,65.60%,0,1375
Marlene Betwixt,0,0,57.90%,4590,666
"Welcome Home, Love",0,0,64.70%,3313,760
Skinscape,0,0,60%,0,369
Jonah's Path,0,0,67.60%,0,3930
Magic Tavern,0,0,50%,436,558
The Last Dinner,0,0,51.50%,0,1162
Tiny Love,0,0,68.40%,0,674
Lost Circus VR - The Prologue,0,0,81.90%,7640,2160
Super Amazeballs,0,0,84.20%,6355,1234
Xenociders,0,0,47.60%,12029,630
PLANNES,0,1,81.50%,12253,1263
Kitty Rescue,0,1,73.50%,1101,1345
VR Coaster Extreme,0,0,42.90%,3999,1028
OnsenVR,0,0,72%,7399,985
Krieg,0,0,75%,2727,1338
VRQ Test,0,0,75%,0,484
AESCULAP® OrthoPilot®Elite VR Palpation,0,0,73.70%,0,703
Dances with Butterflies VR,0,0,78.90%,0,606
God Hand,0,0,77.80%,0,1116
Trickster VR: Horde Attack!,0,1,72.40%,0,1494
BE THE HERO,0,0,52.90%,11652,742
ALaLa: Wake Mi Up!,0,0,63.60%,4091,550
Insane Decay of Mind: The Labyrinth,0,0,51.90%,6427,3106
Glaive,0,0,68.80%,1795,960
X-Fire VR,0,0,46.20%,4185,565
Maxi Pool Masters VR,0,0,60%,950,450
The Lost VR,0,0,89.50%,8899,742
Darwin's bots: Episode 1,0,0,52.90%,4796,850
Kira,0,0,65.50%,0,1365
Starman's VR Experience,0,1,61.80%,0,11630
Kindled Cavern,0,0,87.50%,1984,741
Housekeeping VR,0,0,58.80%,5650,760
Porsche Hall of Legends VR,0,0,65.40%,0,780
Beach Body Bros,0,0,90.90%,0,874
Google Spotlight Stories: On Ice,0,0,92.70%,0,1505
Fracked,1,1,60.40%,37145,1620
MIND: Path to Thalamus Enhanced Edition,2,2,66.10%,644000,89639
Volo Airsport,0,1,69.40%,91500,10238
Escape: VR,3,3,80.70%,4165,7465
Tesseract VR,0,0,60%,0,872
Bowling at the Lake,0,0,55%,0,1125
Diesel Express VR,0,0,66.70%,5095,648
Conquer,0,0,54.20%,7955,1085
Flip the Table,0,0,50%,554,465
3D Organon VR Anatomy,0,5,46.90%,0,816
Conquer,0,0,54.20%,7955,1085
3D Organon VR Anatomy,0,5,46.90%,0,816
Diorama No.1 : Blocked In,0,0,68.80%,1400,1818
Flip the Table,0,0,50%,554,465
Anarchy Arcade,3,7,68.70%,0,397000
Protocol VR,0,0,45.70%,19778,1424
SchoolJump,0,0,46.20%,319,419
SoundLites,0,0,68%,0,10895
The Beanstalk,0,0,66.70%,0,619
The Same Crime,0,0,60%,0,455
Disc Golf VR,0,0,50%,0,533
The Rise of Captain Longbeard,0,0,77.30%,19193,1320
Rubber Ball VR,0,0,78.80%,0,1560
Order Up VR,0,1,75.90%,0,2857
President Erect VR,1,1,78%,0,19728
Wacktory,1,2,73.10%,0,1008
Header Goal VR: Being Axel Rix,0,0,88.20%,2986,329
Lord Darydikilkil,0,0,68.80%,476,323
The Uncertain: VR Experience,0,0,70.60%,0,1480
EmbodyMe Beta,0,0,70%,0,960
COMPLEX a VR Puzzle Game,0,0,73.70%,2766,574
Chop and Drop VR,0,1,70.70%,0,2530
Dream Coaster VR Remastered,0,3,55%,4835,3528
Octoshield VR,0,0,69%,6176,1713
Punch Bomb,0,0,100%,3445,730
Aeronaut,0,0,95.80%,0,636
Mouse Playhouse,0,0,84%,0,12898
The Professor Presents: #GotHandles,0,0,81%,0,988
Letzte Worte VR,0,0,85.70%,0,944
Crypt Hunter,0,0,48.10%,9319,1288
It's a Trap,0,0,50%,8583,542
Broken Blue,0,0,68.30%,0,2385
The Torus Syndicate,0,0,75%,7706,705
AaAaAA!!! - A Reckless Disregard for Gravity,0,1,83.90%,982000,160000
Bleeding Hunt VR Chap.1,0,2,66.70%,5658,2547
MageWorks,0,0,56.30%,2718,640
Circuit Slinger,0,0,56%,0,860
Country of One,0,0,60%,6367,1050
Super Ultra Monster Smash!,0,0,53.80%,3491,1635
VRoid Studio v1.22.0,531,573,94.50%,0,89490
Timeless Paradox VR,0,0,80%,18263,1350
Idol Quest VR,0,0,54.50%,623,914
Panic Station VR,0,1,81.10%,0,1110
Fastigium: Dead End,0,0,68.80%,3010,778
Counter Fight 3,0,0,42.10%,5955,580
Poly Quest,0,0,65.40%,0,992
Sanctuary VR (Also contains non-VR version),0,0,52.90%,144,918
Soldier Sortie :VR Agent 006,0,0,53.80%,10704,813
Air Raid Over Britain,0,0,52%,0,1028
Spooky Night,0,2,90.60%,0,1737
AaAaAA!!! - A Reckless Disregard for Gravity,0,1,83.90%,982000,160000
Chained: A Victorian Nightmare,0,0,61.80%,4229,1050
Real Al's Humanity Academy,0,0,89.70%,0,984
VectorWave,0,0,86.20%,14845,3105
Dragon Fight VR,0,0,91.70%,0,360
vBuilder,0,1,69.20%,0,565
Intel 5G VR Experience,0,0,40%,0,915
Amazing Thailand VR Experience,0,0,40%,0,460
Virtual Hero VR,0,1,68.30%,0,2321
Becoming Homeless: A Human Experience,1,1,51.40%,0,1377
NOLO HOME,0,4,40.40%,0,1368
Adagio,0,0,53.30%,0,406
Children of Colossus,0,0,67.90%,3747,1105
VR Model Viewer,0,0,67.40%,13598,1380
RevelationTrestan-尸忆岛,0,0,68.80%,10797,680
Jar Wars,0,1,70.50%,0,5520
RideOp - VR Thrill Ride Experience,0,1,67.70%,0,1998
Hold Your Ground,0,0,84.60%,0,810
Crystal Reign,0,0,86.70%,1891,688
DatavizVR Demo,0,0,92.30%,0,732
Age of ilcoin VR : Retribution,0,0,48%,0,750
Haunted House Escape: A VR Experience,1,2,42.90%,0,1260
Clazer,0,1,74.20%,20447,960
Epic Fun,6,7,65.80%,0,2280
Terje Haakonsen's Powder VR,0,0,77.30%,25318,1980
Zero Killed,0,0,52.50%,21324,1830
Passengers: Awakening VR Experience,0,0,44.40%,6349,855
Waking the Glares - Chapters I and II,0,0,59.50%,72483,27695
Valiant,0,0,65.40%,38228,3126
SLIVER.tv,0,0,56.10%,0,1943
The Energy Lab,0,0,63.30%,0,1110
BeefeaterXO,0,0,65%,0,893
Cloudborn,0,0,52.40%,6174,574
Death Dojo,0,0,67.90%,0,4662
Desert Ride Coaster,0,1,60%,0,2844
Lumberjack VR,0,0,61.10%,1340,720
3D Organon Anatomy,0,7,50.70%,0,1365
"UNCORPOREAL - ""Alcatraz Island Lofts""",0,0,57.10%,0,1272
Viveport Video,1,5,53.50%,0,5970
Desert Ride Coaster,0,1,60%,0,2844
Lumberjack VR,0,0,61.10%,1340,720
3D Organon Anatomy,0,7,50.70%,0,1365
Reboant Demo,0,0,60.70%,2168,2733
Super Cat Herding: Totally Awesome Edition,0,0,83.90%,9164,1258
SPECIAL FORCE VR: INFINITY WAR,2,4,61.10%,22981,1900
"UNCORPOREAL - ""Alcatraz Island Lofts""",0,0,57.10%,0,1272
Viveport Video,1,5,53.50%,0,5970
Virtual Reality Experiment Framework,0,0,50%,0,394
Bridge to Nowhere,0,0,45.50%,0,639
B. Braun Future Operating Room,0,0,66.70%,0,945
Clean VR,0,0,58.30%,0,354
VR RunningJoe,0,0,73.30%,3275,819
三国虎将传VR2-Sanguo Warriors VR2,0,0,63.20%,10657,724
Malazard: Magic Defense,0,0,80.80%,5441,1009
P·O·L·L·E·N,0,1,65.60%,83606,6034
Jinxed,0,0,53.80%,2074,430
Frankenstein: Beyond the Time,0,0,63%,12265,996
SYREN,0,0,54.10%,29685,1855
TankVR,0,0,52.80%,984,759
Bring to Light,0,0,68.40%,20837,1376
Boxing Saga,0,0,53.80%,3853,965
Boom Boomerang,0,0,81.80%,1272,330
Ski Doom VR,0,0,72.20%,0,570
Net VR Theater,0,0,61.50%,0,390
AM Model Viewer,0,0,69.20%,4615,628
Ultimate Coaster X,3,3,88.50%,0,5372
HVRGUN,0,0,60%,3562,728
VR Jogger,0,0,44.40%,0,904
Basketball Madness,0,0,84.60%,1272,390
Doomsday Survival:Training,0,0,60%,3741,576
"UNCORPOREAL - ""Fluffy!""",0,0,66.70%,0,1911
Six Feet Under,0,0,69.60%,0,1332
Float Gallery,0,0,66.70%,0,665
HeapVR,0,0,66.70%,0,620
Team Up VR (Beta),0,0,48.30%,0,1052
Hold the door!,0,0,60.50%,0,2205
The Journey Home,0,0,48.40%,0,1839
TendyTrainer,0,0,64.70%,0,504
Keep Watching VR,0,0,61.50%,1223,545
DoubleTap,0,0,60%,4162,728
VR Rome,0,0,61.10%,7578,652
Across The Line,0,0,52.20%,0,970
The Divergent Series: Allegiant VR,0,0,65%,0,6003
MagixHome™ VR,0,0,50%,0,885
Larkin building by Frank Lloyd Wright,0,0,60%,0,574
Expedia Cenote VR,0,0,64.70%,0,630
Bridge Trek,0,0,77.30%,0,893
NEKROTRONIC VR,0,0,42.90%,0,420
Frequency Garden,0,0,77.80%,1896,540
The Villa: Allison's Diary,0,0,66.70%,1780,459
Metaverse Construction Kit,0,0,67.70%,0,13125
Shuttle Commander,0,0,46.70%,16677,960
FINAL ARCHER VR,0,0,56.50%,4407,813
Aperture Desk Job,38,39,95.10%,0,572000
Axegend：Episode I,0,0,82.40%,0,510
Cloudlands 2,0,0,58.80%,8040,510
Piwall,0,0,60%,0,1217
Counter Fight 4,0,0,77.80%,3707,540
The Paperman,0,0,69.80%,0,9180
Piñata,0,0,51.20%,0,2283
Cyber Surf,0,0,64.30%,0,594
Anti Gravity Warriors VR,0,0,42.90%,0,853
Shinrin-yoku: Forest Meditation and Relaxation,0,0,59.10%,0,838
Rail Adventures - VR Tech Demo,0,0,47.40%,0,2265
A Collection of Bad Moments,0,0,61.50%,1576,523
rumii,0,1,71.40%,0,812
Reboant - Endless Dawn,0,0,47.10%,4262,524
Virtual telescope,0,0,62.50%,2392,622
Beach Cry of VR,0,0,58.30%,5202,578
True Blades™,0,0,43.50%,25817,1128
Mortars VR,0,0,60.50%,4709,6182
Vision,0,0,75.40%,0,2014
Follia - Dear father,0,1,61.80%,71760,5010
Grave of the Petrified,0,0,79.10%,0,1290
VR Immortal Fight,0,0,86.20%,3568,900
Maze Run VR,0,0,57.10%,3714,1050
Spider Fear,0,0,50%,0,300
Tower VR,0,0,62.20%,0,1156
Amigo VR,0,1,47.50%,0,1875
PhyxBox,1,1,62.50%,0,1200
Water Planet,0,0,74.20%,12272,882
Robot City Stadium,0,0,78.60%,2006,300
Last Hope Z - VR,0,0,55.60%,2877,701
A Walk in the Woods,0,0,73.60%,2469,2610
Blastworld,0,0,54%,0,1530
Chocolat Rush,0,0,73.90%,3893,596
Heavens Tournament,0,0,46.90%,5678,990
Hollow Remnant,0,0,76.90%,2028,390
ICED VR,0,0,63.60%,3216,455
Tropical Air Hockey,0,0,69.20%,2056,810
Sansar,5,8,53.60%,0,19193
Voyage Senki VR 海洋传说 VR,0,0,45%,0,1602
PST VR (Primary Surgical Treatment),0,0,52.20%,0,690
Half-Life: VR Mod,0,11,68.30%,0,5580
Dragon Roller Coaster HD,0,3,76.90%,1392,448
PingBall VR,0,0,68.80%,5031,778
Trains VR,0,0,79.20%,9296,888
VR Curling,0,0,61.50%,1251,412
Re-O-Ri,0,0,91.70%,0,2160
Teleporter: World of Gamers (Alpha),0,0,81.80%,0,1650
Doctor Who: The Runaway,0,1,85.70%,0,4410
WellTown,0,0,72%,0,842
Go For A Walk,0,0,76.50%,0,540
Parliament - Parlement,0,0,100%,0,510
4089: Ghost Within,0,1,59.20%,27475,5753
Anima,0,0,64%,480,658
Zanshin,0,0,56.30%,4511,680
Fire Escape,0,0,66.70%,7679,1080
Fancy Skiing 2: Online,1,5,59.10%,6854,768
CityWarHeroes VR,0,0,76.90%,0,390
Led It Rain VR,0,0,75%,0,744
Storm VR,0,0,73.30%,10227,5885
Cove Point Fun Center VR,0,0,62.50%,3041,733
With Loneliness,0,0,75.90%,4821,914
Let's Bowl VR - Bowling Game,0,0,72.10%,26433,1908
Viking Days,0,0,47.80%,2780,784
Witoo VR photo viewer,0,0,63.60%,0,230
EDMtv VR,0,0,50%,0,519
Apollo 11 VR,0,1,53.80%,0,434
RoboSports VR,0,0,52.90%,0,966
Beer Pong League,0,0,68.80%,4266,1028
Let's Bowl VR - Bowling Game,0,0,72.10%,26433,1908
Purgation,0,0,68.80%,0,665
Infinite Art Museum,0,0,90.90%,0,1180
Prey: Typhon Hunter,1,3,32.40%,552000,27635
Ship It,0,0,92.90%,2738,301
Destination: Pluto The VR Experience,0,0,54.10%,0,1675
A Stickman Reality,0,0,85.10%,0,1480
VR Dinosaur Hunter,0,0,100%,864,300
English Teaching Assistant VR,0,0,46.20%,0,443
Final Rest,0,0,46.20%,466,628
Case Files: The Death of Paulette Williams,0,0,73.90%,3407,690
GIPHY World VR,0,0,76.50%,0,630
Draconic Order VR,0,0,63.60%,9239,633
Spirit Realm,0,0,66.70%,0,1438
Danger Room VR,0,0,71%,0,1046
Koliseum Soccer VR,0,0,61.10%,2040,540
CyberClub-2077,0,0,66.70%,4797,600
Dafen Oil Painting Village: An Immersive Reality,0,0,46.20%,0,448
World Apart,0,0,46.70%,502,475
Avem33,0,1,58.30%,0,1715
Basic Car Repair Garage VR,0,1,69.20%,0,390
Badminton Kings VR,0,1,66.70%,11309,952
Visitations,0,0,87.20%,0,1170
Balls! Virtual Reality Cricket,0,0,71%,9769,1213
Eclipse: Edge of Light,0,0,69%,9524,870
Moose Life,1,1,97.70%,13657,2580
Aripi,0,0,75%,2232,720
DrillsVR,0,2,56.30%,0,1177
Beer and Skittls VR,0,0,84%,922,810
Leadwerks Game Engine,4,5,72.60%,1 500 000,25213
Party Pumper,0,0,72.20%,7288,1110
Inevitable VR,0,0,41.70%,0,408
Space Maze,0,0,88.20%,2848,608
Henchman For Hire,0,0,72.20%,0,540
Moto VR,1,1,46.70%,4104,529
Shennong: Taste of Illusion,0,0,75%,2184,958
Elite Escape,0,0,68.80%,727,265
"VR Fitness Gym (Cycling, Marathon, Football, etc)",0,0,64.70%,2787,510
